group	go_term	n_genes_in_term	overlap	group_size	pvalue	fdr
Q3_clip_low_te_down	gene_type:snRNA	39	2	5734	0.9999541487707647	1.0
Q3_clip_low_te_down	gene_type:snoRNA	72	7	5734	0.9999611596784106	1.0
Q3_clip_low_te_down	gene_type:lncRNA	1899	444	5734	0.9999987465251053	1.0
Q1_clip_high_te_up	gene_type:IG_C_gene	1	0	1410	1.0	1.0
Q1_clip_high_te_up	gene_type:IG_V_gene	1	0	1410	1.0	1.0
Q1_clip_high_te_up	gene_type:TR_V_gene	1	0	1410	1.0	1.0
Q1_clip_high_te_up	gene_type:protein_coding	14705	767	1410	1.0	1.0
Q1_clip_high_te_up	gene_type:ribozyme	3	0	1410	1.0	1.0
Q1_clip_high_te_up	gene_type:translated_unprocessed_pseudogene	1	0	1410	1.0	1.0
Q2_clip_low_te_up	gene_type:IG_V_gene	1	0	881	1.0	1.0
Q2_clip_low_te_up	gene_type:Mt_rRNA	2	0	881	1.0	1.0
Q2_clip_low_te_up	gene_type:Mt_tRNA	20	0	881	1.0	1.0
Q2_clip_low_te_up	gene_type:TR_V_gene	1	0	881	1.0	1.0
Q2_clip_low_te_up	gene_type:protein_coding	14705	400	881	1.0	1.0
Q2_clip_low_te_up	gene_type:transcribed_unitary_pseudogene	12	0	881	1.0	1.0
Q2_clip_low_te_up	gene_type:translated_unprocessed_pseudogene	1	0	881	1.0	1.0
Q2_clip_low_te_up	gene_type:unitary_pseudogene	4	0	881	1.0	1.0
Q3_clip_low_te_down	gene_type:IG_C_gene	1	0	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:IG_V_gene	1	0	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:Mt_rRNA	2	0	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:Mt_tRNA	20	0	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:TEC	877	135	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:TR_V_gene	1	0	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:processed_pseudogene	2504	435	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:translated_unprocessed_pseudogene	1	0	5734	1.0	1.0
Q3_clip_low_te_down	gene_type:unitary_pseudogene	4	0	5734	1.0	1.0
Q4_clip_high_te_down	gene_type:IG_C_gene	1	0	4294	1.0	1.0
Q4_clip_high_te_down	gene_type:IG_V_gene	1	0	4294	1.0	1.0
Q4_clip_high_te_down	gene_type:Mt_rRNA	2	0	4294	1.0	1.0
Q4_clip_high_te_down	gene_type:TR_V_gene	1	0	4294	1.0	1.0
Q4_clip_high_te_down	gene_type:protein_coding	14705	2598	4294	1.0	1.0
Q4_clip_high_te_down	gene_type:translated_unprocessed_pseudogene	1	0	4294	1.0	1.0
Q4_clip_high_te_down	gene_type:unitary_pseudogene	4	0	4294	1.0	1.0
