group	n_genes	mean_clip_enrichment_log2	median_clip_enrichment_log2	mean_te_change_log2	median_te_change_log2
Q1_clip_high_te_up	1410	1.8533873404623538	1.5443205162238105	1.1238504530731963	0.8479969065549501
Q2_clip_low_te_up	881	-1.9493384973517311	-1.9068905956085185	1.2146450543876832	0.9385994553358564
Q3_clip_low_te_down	5734	-1.547852760625487	-1.301169534720565	-1.3298672064115782	-1.2200851970552145
Q4_clip_high_te_down	4294	1.5469541989128093	1.222392421336448	-1.2748812659964994	-1.025352754437606
other	8234	0.15068501964116937	0.0780025120012731	-0.5487573234863874	-0.3923174227787603
